Дата,Нед,Тип юнита,Рубрика/Кластер,Формат,Сегмент,Тема,Хук / Содержание,Структура (атом),CTA,Статус
2026-12-10,21,Short (из карусели),,15-30 сек,,Карусель нед 21 (чт),Прежде чем нанимать - проверь 4 вопроса.,Бит 1: Рутина повторяется? Автоматизируй. Бит 2: Поток стабильный? Тогда штат. Бит 3: ТЗ и чек знаний для собеседования. Вывод: одна цифра крупно.,ТЗ на маркетолога: шаблон (ссылка в описании),
2026-12-12,21,Short (из карусели),,15-30 сек,,Карусель нед 21 (сб),Три маркетолога за год. Проблема была не в них.,"Бит 1: Нет цифр = нечем управлять. Бит 2: Система до найма, не вместо. Бит 3: Что построить за месяц до вакансии. Вывод: одна цифра крупно.",Чек-лист «до найма» в боте (ссылка в описании),
2026-12-13,21,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),"Один час собственника стоит дороже, чем ты думаешь",Бит 1: посчитай: прибыль в месяц делить на рабочие часы. Бит 2: час рутины по этой цене - на экране. Бит 3: рутина дешевле у бота. Вывод: шаблон AI-рутины.,Подписка на канал + бот,
2026-12-15,22,Short (из карусели),,15-30 сек,,Карусель нед 22 (вт),«Посоветуй стоматологию» спрашивают уже у AI. Кого советует?,"Бит 1: AI собирает ответ из отзывов, карт, статей. Бит 2: FAQ + разметка + карточки = цитируемость. Бит 3: Проверка за 5 минут: спроси AI о своей нише. Вывод: одна цифра крупно.",Чек-лист AI-видимости (ссылка в описании),
2026-12-17,22,Short (из карусели),,15-30 сек,,Карусель нед 22 (чт),Попасть в ответы нейросетей можно бесплатно. 4 шага.,Бит 1: Шаг 1: карточки и отзывы (AI это ест). Бит 2: Шаг 3: цифры и факты с источниками. Бит 3: Шаг 4: упоминания на внешних площадках. Вывод: одна цифра крупно.,Чек-лист в боте (ссылка в описании),
2026-12-19,22,Short (из карусели),,15-30 сек,,Карусель нед 22 (сб),Одна статья приводит клиентов год. Без бюджета.,"Бит 1: Кластер: «сколько стоит X в 2026». Бит 2: AI-поиск цитирует, клиент приходит готовым. Бит 3: Механика воспроизводима: GEO-пакет. Вывод: одна цифра крупно.",GEO-аудит в боте (ссылка в описании),
2026-12-20,22,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Реанимация базы: механика за 20 секунд,Бит 1: выгрузи контакты отовсюду в одну таблицу. Бит 2: раздели: покупали давно / недавно / ни разу. Бит 3: каждому сегменту свой повод вернуться. Вывод: шаблон серии.,Подписка на канал + бот,
2026-12-22,23,Short (из карусели),,15-30 сек,,Карусель нед 23 (вт),Если в рекламе есть эти слова - она не работает.,Бит 1: «Качество» пишут все 10 000 конкурентов. Бит 2: Замена: конкретика + цифра + срок. Бит 3: Ремонт iPhone за 40 минут или вернём деньги. Вывод: одна цифра крупно.,20 стоп-слов и замены в боте (ссылка в описании),
2026-12-24,23,Short (из карусели),,15-30 сек,,Карусель нед 23 (чт),Твой оффер проходит тест на «ну и что?». Проверим.,"Бит 1: Читаешь оффер, спрашиваешь «ну и что?». Бит 2: 0-1 из трёх: оффер-пустышка. Бит 3: Пересборка по формуле на примере. Вывод: одна цифра крупно.",Формула оффера в боте (ссылка в описании),
2026-12-26,23,Short (из карусели),,15-30 сек,,Карусель нед 23 (сб),Поменяли 8 слов. Заявка подешевела. Показываем как.,"Бит 1: ДО: «стоматология, качественно, недорого». Бит 2: ПОСЛЕ: «Имплант за 1 день, цена до осмотра». Бит 3: Модельный пример механики (не кейс). Вывод: одна цифра крупно.",Пересборка оффера: шаблон (ссылка в описании),
2026-12-27,23,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Штраф 15 млн: за что реально прилетает,Бит 1: база клиентов = персональные данные. Бит 2: загрузил в зарубежный AI = нарушение. Бит 3: согласия + российские AI + одно хранилище. Вывод: чек-лист 152-ФЗ.,Подписка на канал + бот,
2026-12-29,24,Short (из карусели),,15-30 сек,,Карусель нед 24 (вт),30 постов «для галочки» проигрывают 4 продающим.,"Бит 1: Контент без задачи = шум. Бит 2: Лучше реже, но с механикой шеринга. Бит 3: 3 вопроса перед публикацией. Вывод: одна цифра крупно.",Мини-гайд по контенту (ссылка в описании),
2026-12-31,24,Short (из карусели),,15-30 сек,,Карусель нед 24 (чт),Лайкают из вежливости. Сохраняют из жадности.,"Бит 1: Сохраняют: чек-листы, калькуляторы, схемы. Бит 2: Хук: цифра + вопрос к себе. Бит 3: Тест на пересылку другу. Вывод: одна цифра крупно.",Шаблоны сохраняемых постов (ссылка в описании),
2027-01-02,24,Short (из карусели),,15-30 сек,,Карусель нед 24 (сб),Обычный пост. Одна механика внутри. 40 заявок.,Бит 1: Механика: калькулятор потерь внутри поста. Бит 2: CTA: точный расчёт в боте. Бит 3: Анатомия поста по слоям. Вывод: одна цифра крупно.,Разбор механики в боте (ссылка в описании),
2027-01-03,24,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Почему конкурент отвечает быстрее: разбор,"Бит 1: у него не больше людей. Бит 2: у него бот на первой линии. Бит 3: типовые вопросы без человека, сложные - утром. Вывод: связка А.",Подписка на канал + бот,
2027-01-05,25,Short (из карусели),,15-30 сек,,Карусель нед 25 (вт),Людям лень заполнять форму. Играть - не лень.,Бит 1: ДО: «Оставьте заявку» и тишина. Бит 2: ПОСЛЕ: контакт в обмен на результат. Бит 3: Механика + шаблон вопросов. Вывод: одна цифра крупно.,Шаблон квиза в боте (ссылка в описании),
2027-01-07,25,Short (из карусели),,15-30 сек,,Карусель нед 25 (чт),Квиз из 12 вопросов убивает конверсию. Нужно 5.,Бит 1: В1-2: сегментируют (что/когда). Бит 2: В5: приближают к покупке. Бит 3: Финал: результат + телефон + бонус. Вывод: одна цифра крупно.,Шаблон под твою нишу (ссылка в описании),
2027-01-09,25,Short (из карусели),,15-30 сек,,Карусель нед 25 (сб),Утром 6 заявок. Все пришли ночью. Сами.,"Бит 1: Квиз собрал, бот ответил, CRM записала. Бит 2: Менеджер утром дожимает тёплых. Бит 3: Связка А: 5 дней до запуска. Вывод: одна цифра крупно.",Связка «Квиз-ловушка» (ссылка в описании),
2027-01-10,25,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Предзаказ против несезона: механика,"Бит 1: несезон = касса пустая, команда скучает. Бит 2: ранняя цена за предзаказ сезона. Бит 3: клиент экономит, ты получаешь кассу сейчас. Вывод: шаблон кампании.",Подписка на канал + бот,
2027-01-12,26,Short (из карусели),,15-30 сек,,Карусель нед 26 (вт),"Полгода назад нас было 1000. Показываем всё, что сработало.","Бит 1: Цифры канала: рост, охваты, заявки. Бит 2: Что провалилось и что мы выкинули. Бит 3: Система целиком: скачай мега-гайд. Вывод: одна цифра крупно.",Мега-гайд системы (ссылка в описании),
2027-01-14,26,Short (из карусели),,15-30 сек,,Карусель нед 26 (чт),Вот вся наша кухня. Забирай и внедряй.,"Бит 1: Воронка: контент - бот - продукт. Бит 2: Что внедрять первым: приоритизация. Бит 3: Вопросы - в комментарии, отвечаем всем. Вывод: одна цифра крупно.",Мега-гайд в боте (ссылка в описании),
2027-01-16,26,Short (из карусели),,15-30 сек,,Карусель нед 26 (сб),Вы задали 500 вопросов. Отвечаем на 10 главных.,Бит 1: Топ-вопросы из комментариев за полгода. Бит 2: Что будет в канале дальше. Бит 3: Голосование за темы следующего сезона. Вывод: одна цифра крупно.,AI-аудит + анонс сезона 2 (ссылка в описании),
2027-01-17,26,Short (standalone),,15-30 сек,,Банк тем (вкладка 9),Тест оффера на «ну и что?»,"Бит 1: прочитай свой оффер вслух. Бит 2: спроси «ну и что?» - есть ответ? Бит 3: цифра, срок, гарантия - хотя бы 2 из 3. Вывод: формула в боте.",Подписка на канал + бот,
2026-07-20,1,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Конкурент получает твоих клиентов бесплатно». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Бесплатный AI-аудит в боте,
2026-07-21,1,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (KT-Team) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-07-22,1,TG-пост,Инструмент,,,Инструмент,,"Карусель «Посчитай, сколько заявок ты хоронишь в месяц» + текстовая версия шагов списком (для тех, кто не листает)",Точный расчёт в боте за 2 мин,
2026-07-23,1,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-07-24,1,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,"Карусель «Что меняет бот, отвечающий за 30 секунд» + честная пометка про модельные расчёты (до реальных кейсов)",Чек-лист «7 дыр в продажах»,
2026-07-25,1,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Чек-лист «7 дыр в продажах»»,Магнит в боте,
2026-07-26,1,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-07-27,2,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель ««Стратегия - для больших» и другие мифы». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Шаблон стратегии на 1 страницу,
2026-07-28,2,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (НАФИ 2025) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-07-29,2,TG-пост,Инструмент,,,Инструмент,,"Карусель «Год без стратегии: хроника слива» + текстовая версия шагов списком (для тех, кто не листает)","AI-аудит покажет, что доводить первым",
2026-07-30,2,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-07-31,2,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «С чего начать маркетинг: 5 вопросов» + честная пометка про модельные расчёты (до реальных кейсов),Гайд для старта в боте,
2026-08-01,2,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Шаблон одностраничной стратегии»,Магнит в боте,
2026-08-02,2,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-08-03,3,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Селлер ушёл с WB. Что дальше». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Дорожная карта D2C в боте,
2026-08-04,3,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (Sellmonitor/MPGO) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-08-05,3,TG-пост,Инструмент,,,Инструмент,,"Карусель «Маркетплейс vs свой канал: считаем маржу» + текстовая версия шагов списком (для тех, кто не листает)",Калькулятор в боте,
2026-08-06,3,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-08-07,3,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Сначала результат: своя база покупателей» + честная пометка про модельные расчёты (до реальных кейсов),Дорожная карта D2C,
2026-08-08,3,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Дорожная карта «Свой канал после маркетплейса»»,Магнит в боте,
2026-08-09,3,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-08-10,4,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Реклама в минус: ты в клубе 46%». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,AI-аудит: где твой минус,
2026-08-11,4,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (НАФИ/RSBI) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-08-12,4,TG-пост,Инструмент,,,Инструмент,,"Карусель «Допустимая цена клиента: формула на салфетке» + текстовая версия шагов списком (для тех, кто не листает)",Калькулятор юнит-экономики,
2026-08-13,4,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-08-14,4,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Одна и та же реклама: минус и плюс» + честная пометка про модельные расчёты (до реальных кейсов),Разбор твоей связки в боте,
2026-08-15,4,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Калькулятор юнит-экономики»,Магнит в боте,
2026-08-16,4,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-08-17,5,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Красивый отчёт агентства = дымовая завеса». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Шаблон отчёта в боте,
2026-08-18,5,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (NMi Group) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-08-19,5,TG-пост,Инструмент,,,Инструмент,,"Карусель «Какие 3 цифры смотреть каждую неделю» + текстовая версия шагов списком (для тех, кто не листает)",Шаблон отчёта собственника,
2026-08-20,5,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-08-21,5,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,"Карусель «День, когда собственник увидел цифры» + честная пометка про модельные расчёты (до реальных кейсов)",Пульс: аналитика за 3 дня,
2026-08-22,5,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Шаблон отчёта собственника (3 цифры)»,Магнит в боте,
2026-08-23,5,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-08-24,6,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «День собственника: где утекают деньги». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Шаблон AI-рутины,
2026-08-25,6,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (НАФИ/NMi) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-08-26,6,TG-пост,Инструмент,,,Инструмент,,"Карусель «Что отдать AI первым: 4 задачи» + текстовая версия шагов списком (для тех, кто не листает)",Шаблон AI-рутины в боте,
2026-08-27,6,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-08-28,6,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Automation rate 73%: бот вместо ночной смены» + честная пометка про модельные расчёты (до реальных кейсов),Шаблон бота в боте,
2026-08-29,6,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Шаблон AI-рутины (что автоматизировать первым)»,Магнит в боте,
2026-08-30,6,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-08-31,7,TG-пост,Карусель + разбор,,,Карусель + разбор,,"Карусель «Штраф 15 млн за то, что ты делаешь каждый день». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»",Чек-лист 152-ФЗ,
2026-09-01,7,TG-пост,Цифра дня,,,Цифра дня,,"Одна цифра из research по теме недели (152-ФЗ, ред. 2025) + 2 строки интерпретации «что это значит для тебя» + short дня",Переход в бот,
2026-09-02,7,TG-пост,Инструмент,,,Инструмент,,"Карусель «Какие AI можно использовать с базой клиентов» + текстовая версия шагов списком (для тех, кто не листает)",Чек-лист 152-ФЗ в боте,
2026-09-03,7,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-09-04,7,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Как утечка базы убивает доверие» + честная пометка про модельные расчёты (до реальных кейсов),Чек-лист 152-ФЗ,
2026-09-05,7,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Чек-лист «152-ФЗ: 10 шагов без штрафа»»,Магнит в боте,
2026-09-06,7,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-09-07,8,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Математика демпинга: -20% цены = -50% прибыли». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Калькулятор скидки в боте,
2026-09-08,8,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (расчётная механика) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-09-09,8,TG-пост,Инструмент,,,Инструмент,,"Карусель «Поднять чек без потери клиентов» + текстовая версия шагов списком (для тех, кто не листает)",Шаблон пакетирования,
2026-09-10,8,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-09-11,8,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель ««Клиенты уходят из-за цены» - правда?» + честная пометка про модельные расчёты (до реальных кейсов),AI-аудит: почему уходят у тебя,
2026-09-12,8,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Калькулятор «Скидка vs ценность»»,Магнит в боте,
2026-09-13,8,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-09-14,9,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Твоя база - кладбище денег». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Шаблон реанимации базы,
2026-09-15,9,TG-пост,Цифра дня,,,Цифра дня,,"Одна цифра из research по теме недели (Cossa, Mindbox) + 2 строки интерпретации «что это значит для тебя» + short дня",Переход в бот,
2026-09-16,9,TG-пост,Инструмент,,,Инструмент,,"Карусель «Как вернуть уснувших клиентов без спама» + текстовая версия шагов списком (для тех, кто не листает)",Серия сообщений: шаблон в боте,
2026-09-17,9,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-09-18,9,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Первая рассылка по своей базе» + честная пометка про модельные расчёты (до реальных кейсов),Дорожная карта реанимации,
2026-09-19,9,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Связка «Реанимация базы» (описание+шаблон)»,Магнит в боте,
2026-09-20,9,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-09-21,10,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Бесплатные звонки с карт: как включить». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Чек-лист карточки в боте,
2026-09-22,10,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (Calltouch) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-09-23,10,TG-пост,Инструмент,,,Инструмент,,"Карусель «Карточка-призрак vs карточка-продавец» + текстовая версия шагов списком (для тех, кто не листает)",Чек-лист «Карточка на 100%»,
2026-09-24,10,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-09-25,10,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Локальный бизнес без рекламного бюджета» + честная пометка про модельные расчёты (до реальных кейсов),Связка «Карты и отзывы»,
2026-09-26,10,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Чек-лист «Карточка на 100%» (Я.Карты/2ГИС)»,Магнит в боте,
2026-09-27,10,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-09-28,11,TG-пост,Карусель + разбор,,,Карусель + разбор,,"Карусель «5 фраз агентства, которые означают «мы не умеем»». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»",Гайд-детектор подрядчика,
2026-09-29,11,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (консенсус research) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-09-30,11,TG-пост,Инструмент,,,Инструмент,,"Карусель «3 вопроса подрядчику до договора» + текстовая версия шагов списком (для тех, кто не листает)",Полный список вопросов в боте,
2026-10-01,11,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-10-02,11,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Три агентства за год: вскрытие» + честная пометка про модельные расчёты (до реальных кейсов),AI-аудит: где дыра у тебя,
2026-10-03,11,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Гайд-детектор «Как проверить подрядчика»»,Магнит в боте,
2026-10-04,11,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-10-05,12,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Готовим декабрь в октябре: календарь денег». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Календарь офферов в боте,
2026-10-06,12,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (отраслевая механика) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-10-07,12,TG-пост,Инструмент,,,Инструмент,,"Карусель «Сколько стоит несезон: считаем подушку» + текстовая версия шагов списком (для тех, кто не листает)",Калькулятор подушки,
2026-10-08,12,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-10-09,12,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,"Карусель «Бизнес, который продаёт зимой летнее» + честная пометка про модельные расчёты (до реальных кейсов)",Шаблон кампании в боте,
2026-10-10,12,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Календарь сезонных офферов»,Магнит в боте,
2026-10-11,12,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-10-12,13,TG-пост,Карусель + разбор,,,Карусель + разбор,,"Карусель «7 каналов, 0 системы: диагноз». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»",Карта стека в боте,
2026-10-13,13,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (research: 44% не могут синхронизировать сервисы) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-10-14,13,TG-пост,Инструмент,,,Инструмент,,"Карусель «Минимальный маркетинг-стек для старта» + текстовая версия шагов списком (для тех, кто не листает)",Карта стека: скачай в боте,
2026-10-15,13,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-10-16,13,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Месяц «мы везде»: куда ушли 90К» + честная пометка про модельные расчёты (до реальных кейсов),AI-аудит распределения бюджета,
2026-10-17,13,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Карта минимального стека (5 элементов)»,Магнит в боте,
2026-10-18,13,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-10-19,14,TG-пост,Карусель + разбор,,,Карусель + разбор,,"Карусель «Пока ты «увидел сообщение», клиент купил у другого». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»",Скрипт первого ответа в боте,
2026-10-20,14,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (механика + KT-Team) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-10-21,14,TG-пост,Инструмент,,,Инструмент,,"Карусель «Что писать в первом ответе: скрипт» + текстовая версия шагов списком (для тех, кто не листает)",Скрипт + SLA-шаблон,
2026-10-22,14,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-10-23,14,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «SLA 30 секунд: как это устроено» + честная пометка про модельные расчёты (до реальных кейсов),Связка «Квиз-ловушка»,
2026-10-24,14,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Скрипт первого ответа + SLA-шаблон»,Магнит в боте,
2026-10-25,14,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-10-26,15,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Сайт 2015 года против квиза». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Чек-лист лендинга в боте,
2026-10-27,15,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (механика конверсии) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-10-28,15,TG-пост,Инструмент,,,Инструмент,,"Карусель «Лендинг за выходные: что обязательно» + текстовая версия шагов списком (для тех, кто не листает)",Структура лендинга: шаблон,
2026-10-29,15,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-10-30,15,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Сколько стоит «красивый» сайт без заявок» + честная пометка про модельные расчёты (до реальных кейсов),Аудит сайта в боте,
2026-10-31,15,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Чек-лист лендинга из 12 пунктов»,Магнит в боте,
